"fips","MSA","year","population"
"F-29141","RURAL",2010,20565
"F-29143","RURAL",2000,19760
"F-29143","RURAL",2010,18956
"F-29145","JOPLIN, MO",2010,58114
"F-29145","JOPLIN, MO",2000,52636
"F-29147","RURAL",2000,21912
"F-29147","RURAL",2010,23370
"F-29149","RURAL",2000,10344
"F-29149","RURAL",2010,10881
"F-29151","RURAL",2010,13878
"F-29151","RURAL",2000,13062
"F-29153","RURAL",2000,9542
"F-29153","RURAL",2010,9723
"F-29155","RURAL",2010,18296
"F-29155","RURAL",2000,20047
"F-29157","RURAL",2000,18132
"F-29157","RURAL",2010,18971
"F-29159","RURAL",2010,42201
"F-29159","RURAL",2000,39403
"F-29161","RURAL",2000,39825
"F-29161","RURAL",2010,45156
"F-29163","RURAL",2010,18516
"F-29163","RURAL",2000,18351
"F-29165","KANSAS CITY, MO",2000,73781
"F-29165","KANSAS CITY, MO",2010,89322
"F-29167","RURAL",2000,26992
"F-29167","RURAL",2010,31137
"F-29169","RURAL",2010,52274
"F-29169","RURAL",2000,41165
"F-29171","RURAL",2000,5223
"F-29171","RURAL",2010,4979
"F-29173","RURAL",2010,10167
"F-29173","RURAL",2000,9626
"F-29175","RURAL",2010,25414
"F-29175","RURAL",2000,24663
"F-29177","KANSAS CITY, MO",2000,23354
"F-29177","KANSAS CITY, MO",2010,23494
"F-29179","RURAL",2000,6689
"F-29179","RURAL",2010,6696
"F-29181","RURAL",2000,13509
"F-29181","RURAL",2010,14100
"F-29183","SAINT LOUIS, MO",2000,283883
"F-29183","SAINT LOUIS, MO",2010,360485
"F-29185","RURAL",2010,9805
"F-29185","RURAL",2000,9652
"F-29186","RURAL",2010,18145
"F-29186","RURAL",2000,17842
"F-29187","RURAL",2010,65359
"F-29187","RURAL",2000,55641
"F-29189","SAINT LOUIS, MO",2000,1016315
"F-29189","SAINT LOUIS, MO",2010,998954
"F-29195","RURAL",2010,23370
"F-29195","RURAL",2000,23756
"F-29197","RURAL",2010,4431
"F-29197","RURAL",2000,4170
"F-29199","RURAL",2010,4843
"F-29199","RURAL",2000,4983
"F-29201","RURAL",2010,39191
"F-29201","RURAL",2000,40422
"F-29203","RURAL",2010,8441
"F-29203","RURAL",2000,8324
"F-29205","RURAL",2010,6373
"F-29205","RURAL",2000,6799
"F-29207","RURAL",2010,29968
"F-29207","RURAL",2000,29705
"F-29209","RURAL",2010,32202
"F-29209","RURAL",2000,28658
"F-29211","RURAL",2000,7219
"F-29211","RURAL",2010,6714
"F-29213","RURAL",2000,39703
"F-29213","RURAL",2010,51675
"F-29215","RURAL",2000,23003
"F-29215","RURAL",2010,26008
"F-29217","RURAL",2010,21159
"F-29217","RURAL",2000,20454
"F-29219","SAINT LOUIS, MO",2010,32513
"F-29219","SAINT LOUIS, MO",2000,24525
"F-29221","RURAL",2010,25195
"F-29221","RURAL",2000,23344
"F-29223","RURAL",2010,13521
"F-29223","RURAL",2000,13259
"F-29225","SPRINGFIELD, MO",2000,31045
"F-29225","SPRINGFIELD, MO",2010,36202
"F-29227",NA,2010,2171
"F-29227",NA,2000,2382
"F-29229","RURAL",2000,17955
"F-29229","RURAL",2010,18815
"F-29510","SAINT LOUIS, MO",2010,319294
"F-29510","SAINT LOUIS, MO",2000,348189
"F-30001","RURAL",2010,9246
"F-30001","RURAL",2000,9202
"F-30003","RURAL",2010,12865
"F-30003","RURAL",2000,12671
"F-30005","RURAL",2000,7009
"F-30005","RURAL",2010,6491
"F-30007","RURAL",2000,4385
"F-30007","RURAL",2010,5612
"F-30009","RURAL",2000,9552
"F-30009","RURAL",2010,10078
"F-30011","RURAL",2010,1160
"F-30011","RURAL",2000,1360
"F-30013","GREAT FALLS, MT",2000,80357
"F-30013","GREAT FALLS, MT",2010,81327
"F-30015","RURAL",2010,5813
"F-30015","RURAL",2000,5970
"F-30017","RURAL",2000,11696
"F-30017","RURAL",2010,11699
"F-30019","RURAL",2000,2017
"F-30019","RURAL",2010,1751
"F-30021","RURAL",2010,8966
"F-30021","RURAL",2000,9059
"F-30023","RURAL",2010,9298
"F-30023","RURAL",2000,9417
"F-30025","RURAL",2010,2890
"F-30025","RURAL",2000,2837
"F-30027","RURAL",2010,11586
"F-30027","RURAL",2000,11893
"F-30029","RURAL",2010,90928
"F-30029","RURAL",2000,74471
"F-30031","RURAL",2010,89513
"F-30031","RURAL",2000,67831
"F-30033","RURAL",2010,1206
"F-30033","RURAL",2000,1279
"F-30035","RURAL",2010,13399
"F-30035","RURAL",2000,13247
"F-30037",NA,2010,884
"F-30037",NA,2000,1042
"F-30039","RURAL",2010,3079
"F-30039","RURAL",2000,2830
"F-30041","RURAL",2000,16673
"F-30041","RURAL",2010,16096
"F-30043","RURAL",2010,11406
"F-30043","RURAL",2000,10049
"F-30045","RURAL",2000,2329
"F-30045","RURAL",2010,2072
"F-30047","RURAL",2010,28746
"F-30047","RURAL",2000,26507
"F-30049","RURAL",2000,55716
"F-30049","RURAL",2010,63395
"F-30051","RURAL",2010,2339
"F-30051","RURAL",2000,2158
"F-30053","RURAL",2010,19687
"F-30053","RURAL",2000,18837
"F-30055","RURAL",2010,1734
"F-30055","RURAL",2000,1977
"F-30057","RURAL",2000,6851
"F-30057","RURAL",2010,7691
"F-30059","RURAL",2000,1932
"F-30059","RURAL",2010,1891
"F-30061","RURAL",2000,3884
"F-30061","RURAL",2010,4223
"F-30063","RURAL",2000,95802
"F-30063","RURAL",2010,109299
"F-30065","RURAL",2010,4538
"F-30065","RURAL",2000,4497
"F-30067","RURAL",2010,15636
"F-30067","RURAL",2000,15694
"F-30069",NA,2000,493
"F-30069",NA,2010,494
"F-30071","RURAL",2010,4253
"F-30071","RURAL",2000,4601
"F-30073","RURAL",2010,6153
"F-30073","RURAL",2000,6424
"F-30075","RURAL",2000,1858
"F-30075","RURAL",2010,1743
"F-30077","RURAL",2010,7027
"F-30077","RURAL",2000,7180
"F-30079","RURAL",2000,1199
"F-30079","RURAL",2010,1179
"F-30081","RURAL",2010,40212
"F-30081","RURAL",2000,36070
"F-30083","RURAL",2000,9667
"F-30083","RURAL",2010,9746
"F-30085","RURAL",2010,10425
"F-30085","RURAL",2000,10620
"F-30087","RURAL",2010,9233
"F-30087","RURAL",2000,9383
"F-30089","RURAL",2000,10227
"F-30089","RURAL",2010,11413
"F-30091","RURAL",2010,3384
"F-30091","RURAL",2000,4105
"F-30093","RURAL",2010,34200
"F-30093","RURAL",2000,34606
"F-30095","RURAL",2010,9117
"F-30095","RURAL",2000,8195
"F-30097","RURAL",2010,3651
"F-30097","RURAL",2000,3609
"F-30099","RURAL",2010,6073
"F-30099","RURAL",2000,6445
"F-30101","RURAL",2000,5267
"F-30101","RURAL",2010,5324
"F-30103",NA,2000,861
"F-30103",NA,2010,718
"F-30105","RURAL",2010,7369
"F-30105","RURAL",2000,7675
"F-30107","RURAL",2000,2259
"F-30107","RURAL",2010,2168
"F-30109",NA,2000,1068
"F-30109",NA,2010,1017
"F-30111","BILLINGS, MT",2000,129352
"F-30111","BILLINGS, MT",2010,147972
"F-31001","RURAL",2010,31364
"F-31001","RURAL",2000,31151
"F-31003","RURAL",2010,6685
"F-31003","RURAL",2000,7452
"F-31005",NA,2010,460
"F-31005",NA,2000,444
"F-31007",NA,2010,690
"F-31007",NA,2000,819
"F-31009",NA,2010,478
"F-31009",NA,2000,583
"F-31011","RURAL",2010,5505
"F-31011","RURAL",2000,6259
"F-31013","RURAL",2000,12158
"F-31013","RURAL",2010,11308
"F-31015","RURAL",2010,2099
"F-31015","RURAL",2000,2438
"F-31017","RURAL",2000,3525
"F-31017","RURAL",2010,3145
"F-31019","RURAL",2010,46102
"F-31019","RURAL",2000,42259
"F-31021","RURAL",2000,7791
"F-31021","RURAL",2010,6858
"F-31023","RURAL",2000,8767
"F-31023","RURAL",2010,8395
"F-31025","OMAHA, NE",2000,24334
"F-31025","OMAHA, NE",2010,25241
"F-31027","RURAL",2000,9615
"F-31027","RURAL",2010,8852
"F-31029","RURAL",2000,4068
"F-31029","RURAL",2010,3966
"F-31031","RURAL",2010,5713
"F-31031","RURAL",2000,6148
"F-31033","RURAL",2010,9998
"F-31033","RURAL",2000,9830
"F-31035","RURAL",2000,7039
"F-31035","RURAL",2010,6542
"F-31037","RURAL",2000,10441
"F-31037","RURAL",2010,10515
"F-31039","RURAL",2010,9139
"F-31039","RURAL",2000,10203
"F-31041","RURAL",2000,11793
"F-31041","RURAL",2010,10939
"F-31043","SIOUX CITY, IA",2010,21006
"F-31043","SIOUX CITY, IA",2000,20253
"F-31045","RURAL",2000,9060
"F-31045","RURAL",2010,9182
"F-31047","RURAL",2010,24326
"F-31047","RURAL",2000,24365
"F-31049","RURAL",2000,2098
"F-31049","RURAL",2010,1941
"F-31051","RURAL",2010,6000
"F-31051","RURAL",2000,6339
"F-31053","RURAL",2000,36160
"F-31053","RURAL",2010,36691
"F-31055","OMAHA, NE",2010,517110
"F-31055","OMAHA, NE",2000,463585
"F-31057","RURAL",2000,2292
"F-31057","RURAL",2010,2008
"F-31059","RURAL",2000,6634
"F-31059","RURAL",2010,5890
"F-31061","RURAL",2000,3574
"F-31061","RURAL",2010,3225
"F-31063","RURAL",2000,3099
"F-31063","RURAL",2010,2756
"F-31065","RURAL",2000,5324
"F-31065","RURAL",2010,4959
"F-31067","RURAL",2000,22993
"F-31067","RURAL",2010,22311
"F-31069","RURAL",2010,2057
"F-31069","RURAL",2000,2292
"F-31071","RURAL",2000,1902
"F-31071","RURAL",2010,2049
"F-31073","RURAL",2000,2143
"F-31073","RURAL",2010,2044
"F-31075","RURAL",2010,614
"F-31075","RURAL",2000,747
"F-31077","RURAL",2000,2714
"F-31077","RURAL",2010,2538
"F-31079","RURAL",2010,58607
"F-31079","RURAL",2000,53534
"F-31081","RURAL",2010,9124
"F-31081","RURAL",2000,9403
"F-31083","RURAL",2010,3423
"F-31083","RURAL",2000,3786
"F-31085","RURAL",2010,967
"F-31085","RURAL",2000,1068
"F-31087","RURAL",2000,3111
"F-31087","RURAL",2010,2908
"F-31089","RURAL",2010,10435
"F-31089","RURAL",2000,11551
"F-31091","RURAL",2010,736
"F-31091","RURAL",2000,783
"F-31093","RURAL",2010,6274
"F-31093","RURAL",2000,6567
"F-31095","RURAL",2010,7547
"F-31095","RURAL",2000,8333
"F-31097","RURAL",2000,4488
"F-31097","RURAL",2010,5217
"F-31099","RURAL",2000,6882
"F-31099","RURAL",2010,6489
"F-31101","RURAL",2000,8875
"F-31101","RURAL",2010,8368
"F-31103",NA,2000,983
"F-31103",NA,2010,824
"F-31105","RURAL",2000,4089
"F-31105","RURAL",2010,3821
"F-31107","RURAL",2010,8701
"F-31107","RURAL",2000,9374
"F-31109","LINCOLN, NE",2000,250291
"F-31109","LINCOLN, NE",2010,285407
"F-31111","RURAL",2010,36288
"F-31111","RURAL",2000,34632
"F-31113","RURAL",2000,774
"F-31113","RURAL",2010,763
"F-31115",NA,2000,712
"F-31115",NA,2010,632
"F-31117","RURAL",2010,539
"F-31117","RURAL",2000,533
"F-31119","RURAL",2000,35226
"F-31119","RURAL",2010,34876
"F-31121","RURAL",2000,8204
"F-31121","RURAL",2010,7845
"F-31123","RURAL",2010,5042
"F-31123","RURAL",2000,5440
"F-31125","RURAL",2000,4038
"F-31125","RURAL",2010,3735
"F-31127","RURAL",2000,7576
"F-31127","RURAL",2010,7248
"F-31129","RURAL",2010,4500
"F-31129","RURAL",2000,5057
"F-31131","RURAL",2010,15740
"F-31131","RURAL",2000,15396
"F-31133","RURAL",2010,2773
"F-31133","RURAL",2000,3087
"F-31135","RURAL",2000,3200
"F-31135","RURAL",2010,2970
"F-31137","RURAL",2010,9188
"F-31137","RURAL",2000,9747
"F-31139","RURAL",2010,7266
"F-31139","RURAL",2000,7857
"F-31141","RURAL",2000,31662
"F-31141","RURAL",2010,32237
"F-31143","RURAL",2000,5639
"F-31143","RURAL",2010,5406
"F-31145","RURAL",2010,11055
"F-31145","RURAL",2000,11448
"F-31147","RURAL",2010,8363
"F-31147","RURAL",2000,9531
"F-31149","RURAL",2000,1756
"F-31149","RURAL",2010,1526
"F-31151","RURAL",2010,14200
"F-31151","RURAL",2000,13843
"F-31153","OMAHA, NE",2010,158840
"F-31153","OMAHA, NE",2000,122595
"F-31155","RURAL",2010,20780
"F-31155","RURAL",2000,19830
"F-31157","RURAL",2010,36970
"F-31157","RURAL",2000,36951
"F-31159","RURAL",2000,16496
"F-31159","RURAL",2010,16750
"F-31161","RURAL",2010,5469
"F-31161","RURAL",2000,6198
"F-31163","RURAL",2000,3318
"F-31163","RURAL",2010,3152
"F-31165","RURAL",2000,1475
"F-31165","RURAL",2010,1311
"F-31167","RURAL",2000,6455
"F-31167","RURAL",2010,6129
"F-31169","RURAL",2000,6055
"F-31169","RURAL",2010,5228
"F-31171","RURAL",2000,729
"F-31171","RURAL",2010,647
"F-31173","RURAL",2010,6940
"F-31173","RURAL",2000,7171
"F-31175","RURAL",2010,4260
"F-31175","RURAL",2000,4647
"F-31177","OMAHA, NE",2000,18780
"F-31177","OMAHA, NE",2010,20234
"F-31179","RURAL",2000,9851
"F-31179","RURAL",2010,9595
"F-31181","RURAL",2000,4061
"F-31181","RURAL",2010,3812
"F-31183","RURAL",2000,886
"F-31183","RURAL",2010,818
"F-31185","RURAL",2000,14598
"F-31185","RURAL",2010,13665
"F-32001","RURAL",2010,24877
"F-32001","RURAL",2000,23982
"F-32003","LAS VEGAS, NV",2010,1951269
"F-32003","LAS VEGAS, NV",2000,1375765
"F-32005","RURAL",2010,46997
"F-32005","RURAL",2000,41259
"F-32007","RURAL",2000,45291
"F-32007","RURAL",2010,48818
"F-32009","RURAL",2000,971
"F-32009","RURAL",2010,783
"F-32011",NA,2000,1651
"F-32011",NA,2010,1987
"F-32013","RURAL",2000,16106
"F-32013","RURAL",2010,16528
"F-32015","RURAL",2010,5775
"F-32015","RURAL",2000,5794
"F-32017","RURAL",2000,4165
"F-32017","RURAL",2010,5345
"F-32019","RURAL",2010,51980
"F-32019","RURAL",2000,34501
"F-32021","RURAL",2010,4772
"F-32021","RURAL",2000,5071
"F-32023","LAS VEGAS, NV",2010,43946
"F-32023","LAS VEGAS, NV",2000,32485
"F-32027","RURAL",2000,6693
"F-32027","RURAL",2010,6753
"F-32029","RURAL",2010,4010
"F-32029","RURAL",2000,3399
"F-32031","RENO, NV",2010,421407
"F-32031","RENO, NV",2000,339486
"F-32033","RURAL",2010,10030
"F-32033","RURAL",2000,9181
"F-32510","RURAL",2010,55274
"F-32510","RURAL",2000,52457
"F-33001","RURAL",2000,56325
"F-33001","RURAL",2010,60088
"F-33003","RURAL",2010,47818
"F-33003","RURAL",2000,43666
"F-33005","RURAL",2010,77117
"F-33005","RURAL",2000,73825
"F-33007","RURAL",2010,33055
"F-33007","RURAL",2000,33111
"F-33009","RURAL",2000,81743
"F-33009","RURAL",2010,89118
"F-33011","BOSTON, MA",2010,400721
"F-33011","BOSTON, MA",2000,380841
"F-33013","RURAL",2010,146445
"F-33013","RURAL",2000,136225
"F-33015","BOSTON, MA",2010,295223
"F-33015","BOSTON, MA",2000,277359
"F-33017","BOSTON, MA",2010,123143
"F-33017","BOSTON, MA",2000,112233
"F-33019","RURAL",2010,43742
"F-33019","RURAL",2000,40458
"F-34001","PHILADELPHIA, PA",2000,252552
"F-34001","PHILADELPHIA, PA",2010,274549
"F-34003","NEW YORK, NY",2010,905116
"F-34003","NEW YORK, NY",2000,884118
"F-34005","PHILADELPHIA, PA",2010,448734
"F-34005","PHILADELPHIA, PA",2000,423394
"F-34007","PHILADELPHIA, PA",2010,513657
"F-34007","PHILADELPHIA, PA",2000,508932
"F-34009","PHILADELPHIA, PA",2000,102326
"F-34009","PHILADELPHIA, PA",2010,97265
"F-34011","PHILADELPHIA, PA",2010,156898
"F-34011","PHILADELPHIA, PA",2000,146438
"F-34013","NEW YORK, NY",2010,783969
"F-34013","NEW YORK, NY",2000,793633
"F-34015","PHILADELPHIA, PA",2010,288288
"F-34015","PHILADELPHIA, PA",2000,254673
"F-34017","NEW YORK, NY",2010,634266
"F-34017","NEW YORK, NY",2000,608975
"F-34019","NEW YORK, NY",2000,121989
"F-34019","NEW YORK, NY",2010,128349
"F-34021","NEW YORK, NY",2010,366513
"F-34021","NEW YORK, NY",2000,350761
"F-34023","NEW YORK, NY",2010,809858
"F-34023","NEW YORK, NY",2000,750162
"F-34025","NEW YORK, NY",2010,630380
"F-34025","NEW YORK, NY",2000,615301
"F-34027","NEW YORK, NY",2000,470212
"F-34027","NEW YORK, NY",2010,492276
"F-34029","NEW YORK, NY",2010,576567
"F-34029","NEW YORK, NY",2000,510916
"F-34031","NEW YORK, NY",2000,489049
"F-34031","NEW YORK, NY",2010,501226
"F-34033","PHILADELPHIA, PA",2010,66083
"F-34033","PHILADELPHIA, PA",2000,64285
"F-34035","NEW YORK, NY",2010,323444
"F-34035","NEW YORK, NY",2000,297490
"F-34037","NEW YORK, NY",2010,149265
"F-34037","NEW YORK, NY",2000,144166
"F-34039","NEW YORK, NY",2000,522541
"F-34039","NEW YORK, NY",2010,536499
"F-34041","NEW YORK, NY",2010,108692
"F-34041","NEW YORK, NY",2000,102437
"F-35001","ALBUQUERQUE, NM",2010,662564
"F-35001","ALBUQUERQUE, NM",2000,556678
"F-35003","RURAL",2010,3725
"F-35003","RURAL",2000,3543
"F-35005","RURAL",2010,65645
"F-35005","RURAL",2000,61382
"F-35006","RURAL",2010,27213
"F-35006","RURAL",2000,25595
"F-35007","RURAL",2000,14189
"F-35007","RURAL",2010,13750
"F-35009","RURAL",2010,48376
"F-35009","RURAL",2000,45044
"F-35011","RURAL",2010,2022
"F-35011","RURAL",2000,2240
"F-35013","LAS CRUCES, NM",2010,209233
"F-35013","LAS CRUCES, NM",2000,174682
"F-35015","RURAL",2010,53829
"F-35015","RURAL",2000,51658
"F-35017","RURAL",2000,31002
"F-35017","RURAL",2010,29514
"F-35019","RURAL",2010,4687
"F-35019","RURAL",2000,4680
"F-35021",NA,2000,810
"F-35021",NA,2010,695
"F-35023","RURAL",2010,4894
"F-35023","RURAL",2000,5932
"F-35025","RURAL",2010,64727
"F-35025","RURAL",2000,55511
"F-35027","RURAL",2010,20497
"F-35027","RURAL",2000,19411
"F-35028","SANTA FE, NM",2010,17950
"F-35028","SANTA FE, NM",2000,18343
"F-35029","RURAL",2000,25016
"F-35029","RURAL",2010,25095
"F-35031","RURAL",2010,71492
"F-35031","RURAL",2000,74798
"F-35033","RURAL",2010,4881
"F-35033","RURAL",2000,5180
"F-35035","RURAL",2010,63797
"F-35035","RURAL",2000,62298
"F-35037","RURAL",2010,9041
"F-35037","RURAL",2000,10155
"F-35039","RURAL",2000,41190
"F-35039","RURAL",2010,40246
"F-35041","RURAL",2000,18018
"F-35041","RURAL",2010,19846
"F-35043","ALBUQUERQUE, NM",2010,131561
"F-35043","ALBUQUERQUE, NM",2000,89908
"F-35045","RURAL",2010,130044
"F-35045","RURAL",2000,113801
"F-35047","RURAL",2010,29393
"F-35047","RURAL",2000,30126
"F-35049","SANTA FE, NM",2000,129292
"F-35049","SANTA FE, NM",2010,144170
"F-35051","RURAL",2010,11988
"F-35051","RURAL",2000,13270
"F-35053","RURAL",2000,18078
"F-35053","RURAL",2010,17866
"F-35055","RURAL",2000,29979
"F-35055","RURAL",2010,32937
"F-35057","RURAL",2010,16383
"F-35057","RURAL",2000,16911
"F-35059","RURAL",2000,4174
"F-35059","RURAL",2010,4549
"F-35061","ALBUQUERQUE, NM",2000,66152
"F-35061","ALBUQUERQUE, NM",2010,76569
"F-36001","ALBANY, NY",2010,304204
"F-36001","ALBANY, NY",2000,294565
"F-36003","RURAL",2000,49927
"F-36003","RURAL",2010,48946
"F-36005","NEW YORK, NY",2000,1332650
"F-36005","NEW YORK, NY",2010,1385108
"F-36007","BINGHAMTON, NY",2010,200600
"F-36007","BINGHAMTON, NY",2000,200536
"F-36009","RURAL",2010,80317
"F-36009","RURAL",2000,83955
"F-36011","SYRACUSE, NY",2000,81963
"F-36011","SYRACUSE, NY",2010,80026
"F-36013","JAMESTOWN, NY",2010,134905
"F-36013","JAMESTOWN, NY",2000,139750
"F-36015","ELMIRA, NY",2000,91070
"F-36015","ELMIRA, NY",2010,88830
"F-36017","RURAL",2000,51401
"F-36017","RURAL",2010,50477
"F-36019","RURAL",2010,82128
"F-36019","RURAL",2000,79894
"F-36021","RURAL",2010,63096
"F-36021","RURAL",2000,63094
"F-36023","RURAL",2010,49336
"F-36023","RURAL",2000,48599
"F-36025","RURAL",2010,47980
"F-36025","RURAL",2000,48055
"F-36027","NEW YORK, NY",2000,280150
"F-36027","NEW YORK, NY",2010,297488
"F-36029","BUFFALO, NY",2000,950265
"F-36029","BUFFALO, NY",2010,919040
"F-36031","RURAL",2010,39370
"F-36031","RURAL",2000,38851
"F-36033","RURAL",2010,51599
"F-36033","RURAL",2000,51134
"F-36035","RURAL",2010,55531
"F-36035","RURAL",2000,55073
"F-36037","ROCHESTER, NY",2000,60370
"F-36037","ROCHESTER, NY",2010,60079
"F-36039","RURAL",2000,48195
"F-36039","RURAL",2010,49221
"F-36041","RURAL",2010,4836
"F-36041","RURAL",2000,5379
"F-36043","UTICA, NY",2010,64519
"F-36043","UTICA, NY",2000,64427
"F-36045","RURAL",2010,116229
"F-36045","RURAL",2000,111738
"F-36047","NEW YORK, NY",2010,2504700
"F-36047","NEW YORK, NY",2000,2465326
"F-36049","RURAL",2010,27087
"F-36049","RURAL",2000,26944
"F-36051","ROCHESTER, NY",2010,65393
"F-36051","ROCHESTER, NY",2000,64328
"F-36053","SYRACUSE, NY",2010,73442
"F-36053","SYRACUSE, NY",2000,69441
"F-36055","ROCHESTER, NY",2010,744344
"F-36055","ROCHESTER, NY",2000,735343
"F-36057","ALBANY, NY",2000,49708
"F-36057","ALBANY, NY",2010,50219
"F-36059","NEW YORK, NY",2010,1339532
"F-36059","NEW YORK, NY",2000,1334544
"F-36061","NEW YORK, NY",2010,1585873
"F-36061","NEW YORK, NY",2000,1537195
"F-36063","BUFFALO, NY",2010,216469
"F-36063","BUFFALO, NY",2000,219846
"F-36065","UTICA, NY",2000,235469
"F-36065","UTICA, NY",2010,234878
"F-36067","SYRACUSE, NY",2000,458336
"F-36067","SYRACUSE, NY",2010,467026
"F-36069","ROCHESTER, NY",2010,107931
"F-36069","ROCHESTER, NY",2000,100224
"F-36071","NEW YORK, NY",2010,372813
"F-36071","NEW YORK, NY",2000,341367
"F-36073","ROCHESTER, NY",2000,44171
"F-36073","ROCHESTER, NY",2010,42883
"F-36075","SYRACUSE, NY",2000,122377
"F-36075","SYRACUSE, NY",2010,122109
"F-36077","RURAL",2010,62259
"F-36077","RURAL",2000,61676
"F-36079","NEW YORK, NY",2010,99710
"F-36079","NEW YORK, NY",2000,95745
"F-36081","NEW YORK, NY",2010,2230722
"F-36081","NEW YORK, NY",2000,2229379
"F-36083","ALBANY, NY",2010,159429
"F-36083","ALBANY, NY",2000,152538
"F-36085","NEW YORK, NY",2010,468730
"F-36085","NEW YORK, NY",2000,443728
"F-36087","NEW YORK, NY",2010,311687
"F-36087","NEW YORK, NY",2000,286753
"F-36089","RURAL",2010,111944
"F-36089","RURAL",2000,111931
"F-36091","ALBANY, NY",2010,219607
"F-36091","ALBANY, NY",2000,200635
"F-36093","ALBANY, NY",2000,146555
"F-36093","ALBANY, NY",2010,154727
"F-36095","ALBANY, NY",2010,32749
"F-36095","ALBANY, NY",2000,31582
"F-36097","RURAL",2010,18343
"F-36097","RURAL",2000,19224
"F-36099","RURAL",2000,33342
"F-36099","RURAL",2010,35251
"F-36101","RURAL",2010,98990
"F-36101","RURAL",2000,98726
"F-36103","NEW YORK, NY",2000,1419369
"F-36103","NEW YORK, NY",2010,1493350
"F-36105","RURAL",2010,77547
"F-36105","RURAL",2000,73966
"F-36107","BINGHAMTON, NY",2010,51125
"F-36107","BINGHAMTON, NY",2000,51784
"F-36109","RURAL",2010,101564
"F-36109","RURAL",2000,96501
"F-36111","RURAL",2010,182493
"F-36111","RURAL",2000,177749
"F-36113","GLENS FALLS, NY",2000,63303
"F-36113","GLENS FALLS, NY",2010,65707
"F-36115","GLENS FALLS, NY",2010,63216
"F-36115","GLENS FALLS, NY",2000,61042
"F-36117","ROCHESTER, NY",2000,93765
"F-36117","ROCHESTER, NY",2010,93772
"F-36119","NEW YORK, NY",2010,949113
"F-36119","NEW YORK, NY",2000,923459
"F-36121","RURAL",2000,43424
"F-36121","RURAL",2010,42155
"F-36123","RURAL",2010,25348
"F-36123","RURAL",2000,24621
"F-37001","GREENSBORO, NC",2000,130800
"F-37001","GREENSBORO, NC",2010,151131
"F-37003","HICKORY, NC",2010,37198
"F-37003","HICKORY, NC",2000,33603
"F-37005","RURAL",2010,11155
"F-37005","RURAL",2000,10677
"F-37007","RURAL",2010,26948
"F-37007","RURAL",2000,25275
"F-37009","RURAL",2000,24384
"F-37009","RURAL",2010,27281
"F-37011","RURAL",2010,17797
"F-37011","RURAL",2000,17167
"F-37013","RURAL",2010,47759
"F-37013","RURAL",2000,44958
"F-37015","RURAL",2010,21282
"F-37015","RURAL",2000,19773
"F-37017","RURAL",2000,32278
"F-37017","RURAL",2010,35190
"F-37019","WILMINGTON, NC",2010,107431
"F-37019","WILMINGTON, NC",2000,73143
"F-37021","ASHEVILLE, NC",2010,238318
"F-37021","ASHEVILLE, NC",2000,206330
"F-37023","HICKORY, NC",2010,90912
"F-37023","HICKORY, NC",2000,89148
"F-37025","CHARLOTTE, NC",2000,131063
"F-37025","CHARLOTTE, NC",2010,178011
"F-37027","HICKORY, NC",2000,77415
"F-37027","HICKORY, NC",2010,83029
"F-37029","RURAL",2000,6885
"F-37029","RURAL",2010,9980
"F-37031","RURAL",2010,66469
"F-37031","RURAL",2000,59383
"F-37033","RURAL",2010,23719
"F-37033","RURAL",2000,23501
"F-37035","HICKORY, NC",2000,141685
"F-37035","HICKORY, NC",2010,154358
"F-37037","RALEIGH, NC",2010,63505
"F-37037","RALEIGH, NC",2000,49329
"F-37039","RURAL",2010,27444
"F-37039","RURAL",2000,24298
"F-37041","RURAL",2010,14793
"F-37041","RURAL",2000,14526
"F-37043","RURAL",2000,8775
"F-37043","RURAL",2010,10587
"F-37045","RURAL",2010,98078
"F-37045","RURAL",2000,96287
"F-37047","RURAL",2010,58098
"F-37047","RURAL",2000,54749
"F-37049","RURAL",2010,103505
"F-37049","RURAL",2000,91436
"F-37051","FAYETTEVILLE, NC",2010,319431
"F-37051","FAYETTEVILLE, NC",2000,302963
"F-37053","VIRGINIA BCH, VA",2000,18190
"F-37053","VIRGINIA BCH, VA",2010,23547
"F-37055","RURAL",2010,33920
"F-37055","RURAL",2000,29967
"F-37057","GREENSBORO, NC",2000,147246
"F-37057","GREENSBORO, NC",2010,162878
"F-37059","GREENSBORO, NC",2000,34835
"F-37059","GREENSBORO, NC",2010,41240
"F-37061","RURAL",2000,49063
"F-37061","RURAL",2010,58505
"F-37063","RALEIGH, NC",2000,223314
"F-37063","RALEIGH, NC",2010,267587
"F-37065","ROCKY MOUNT, NC",2000,55606
"F-37065","ROCKY MOUNT, NC",2010,56552
"F-37067","GREENSBORO, NC",2000,306067
"F-37067","GREENSBORO, NC",2010,350670
"F-37069","RALEIGH, NC",2000,47260
"F-37069","RALEIGH, NC",2010,60619
"F-37071","CHARLOTTE, NC",2010,206086
"F-37071","CHARLOTTE, NC",2000,190365
"F-37073","RURAL",2000,10516
"F-37073","RURAL",2010,12197
"F-37075","RURAL",2000,7993
"F-37075","RURAL",2010,8861
"F-37077","RURAL",2000,48498
"F-37077","RURAL",2010,59916
"F-37079","RURAL",2000,18974
"F-37079","RURAL",2010,21362
"F-37081","GREENSBORO, NC",2000,421048
